72	0	Bad Boy Records	2017-04-13 08:51:31	2017-04-13 08:51:31
73	0	Sony Music	2017-04-13 08:51:50	2017-04-13 08:51:50
74	0	Twin Peak Records	2017-04-13 08:55:31	2017-04-13 08:55:31
75	0	N-Coded Music	2017-04-13 08:56:32	2017-04-13 08:56:32
76	0	LaFace/Legacy	2017-04-13 08:56:33	2017-04-13 08:56:33
77	0	Mammoth Hits Music	2017-04-13 08:57:25	2017-04-13 08:57:25
78	0	Sony Urban Music/Columbia	2017-04-13 09:03:09	2017-04-13 09:03:09
79	0	RCA Records Label	2017-04-13 09:03:51	2017-04-13 09:03:51
80	0	A.B. Crentsil	2017-04-13 09:04:01	2017-04-13 09:04:01
81	0	Oovadrive Music	2017-04-13 09:04:50	2017-04-13 09:04:50
82	0	(P) 2017 Sony Music Entertainment UK Limited	2017-04-13 09:05:44	2017-04-13 09:05:44
83	0	Homeschool/Atlantic	2017-04-13 09:06:15	2017-04-13 09:06:15
84	0	Young-N-Dangerous, LLC	2017-04-13 09:06:20	2017-04-13 09:06:20
85	0	Universal Music B.V.	2017-04-13 09:09:51	2017-04-13 09:09:51
