2	43	1	2017-06-03 08:40:48	2017-06-03 08:40:48
3	9	2	2017-06-03 08:52:39	2017-06-03 08:52:39
5	39	3	2017-06-03 09:00:30	2017-06-03 09:00:30
6	36	3	2017-06-03 09:00:30	2017-06-03 09:00:30
7	38	3	2017-06-03 09:00:30	2017-06-03 09:00:30
10	205	5	2017-06-03 22:33:31	2017-06-03 22:33:31
12	207	5	2017-06-03 22:33:31	2017-06-03 22:33:31
13	209	5	2017-06-03 22:33:31	2017-06-03 22:33:31
14	208	5	2017-06-03 22:33:31	2017-06-03 22:33:31
15	204	5	2017-06-03 22:33:31	2017-06-03 22:33:31
16	42	5	2017-06-03 22:33:31	2017-06-03 22:33:31
17	206	5	2017-06-03 22:33:31	2017-06-03 22:33:31
18	96	5	2017-06-03 22:33:31	2017-06-03 22:33:31
735	122	432	2017-06-27 11:35:58	2017-06-27 11:35:58
21	3	7	2017-06-04 09:17:59	2017-06-04 09:17:59
24	210	10	2017-06-05 03:44:09	2017-06-05 03:44:09
27	212	11	2017-06-05 03:48:57	2017-06-05 03:48:57
29	114	13	2017-06-05 03:56:52	2017-06-05 03:56:52
32	15	15	2017-06-05 05:56:18	2017-06-05 05:56:18
35	215	16	2017-06-05 06:02:10	2017-06-05 06:02:10
38	3	19	2017-06-05 06:19:46	2017-06-05 06:19:46
41	1	20	2017-06-05 06:22:57	2017-06-05 06:22:57
43	217	22	2017-06-05 06:34:29	2017-06-05 06:34:29
44	218	22	2017-06-05 06:34:29	2017-06-05 06:34:29
45	35	22	2017-06-05 06:34:29	2017-06-05 06:34:29
49	146	24	2017-06-05 06:43:14	2017-06-05 06:43:14
51	15	25	2017-06-05 06:46:05	2017-06-05 06:46:05
52	21	26	2017-06-05 06:46:10	2017-06-05 06:46:10
54	219	27	2017-06-05 06:52:35	2017-06-05 06:52:35
57	179	28	2017-06-05 06:52:42	2017-06-05 06:52:42
60	22	30	2017-06-05 07:00:40	2017-06-05 07:00:40
62	15	31	2017-06-05 07:01:09	2017-06-05 07:01:09
64	223	33	2017-06-05 07:14:19	2017-06-05 07:14:19
67	224	34	2017-06-05 07:31:14	2017-06-05 07:31:14
74	3	41	2017-06-05 08:04:05	2017-06-05 08:04:05
834	31	486	2017-07-02 20:47:06	2017-07-02 20:47:06
77	116	42	2017-06-05 08:11:51	2017-06-05 08:11:51
78	2	42	2017-06-05 08:11:51	2017-06-05 08:11:51
79	32	43	2017-06-05 08:18:05	2017-06-05 08:18:05
835	115	492	2017-07-03 08:54:06	2017-07-03 08:54:06
836	6	493	2017-07-03 08:58:32	2017-07-03 08:58:32
83	221	46	2017-06-05 08:26:34	2017-06-05 08:26:34
840	146	498	2017-07-03 17:26:06	2017-07-03 17:26:06
85	90	47	2017-06-05 08:32:42	2017-06-05 08:32:42
86	1	47	2017-06-05 08:32:42	2017-06-05 08:32:42
842	384	502	2017-07-04 09:13:21	2017-07-04 09:13:21
88	44	48	2017-06-05 08:40:14	2017-06-05 08:40:14
843	49	503	2017-07-04 09:38:17	2017-07-04 09:38:17
844	3	504	2017-07-04 09:47:37	2017-07-04 09:47:37
845	1	505	2017-07-04 09:53:19	2017-07-04 09:53:19
846	406	506	2017-07-04 10:02:57	2017-07-04 10:02:57
93	10	51	2017-06-05 09:14:37	2017-06-05 09:14:37
848	29	509	2017-07-04 14:16:47	2017-07-04 14:16:47
849	21	514	2017-07-04 22:50:11	2017-07-04 22:50:11
96	231	53	2017-06-05 09:23:58	2017-06-05 09:23:58
97	129	53	2017-06-05 09:23:58	2017-06-05 09:23:58
98	149	54	2017-06-05 09:31:49	2017-06-05 09:31:49
850	411	516	2017-07-04 23:05:40	2017-07-04 23:05:40
851	410	516	2017-07-04 23:05:40	2017-07-04 23:05:40
852	413	520	2017-07-05 02:09:53	2017-07-05 02:09:53
827	8	438	2017-07-02 20:18:40	2017-07-02 20:18:40
853	415	522	2017-07-05 10:17:57	2017-07-05 10:17:57
854	297	522	2017-07-05 10:17:57	2017-07-05 10:17:57
105	238	60	2017-06-05 22:10:44	2017-06-05 22:10:44
856	8	525	2017-07-05 20:20:35	2017-07-05 20:20:35
