180	57	33	2017-07-04 17:04:41	2017-07-04 17:04:41
181	281	33	2017-07-04 17:04:42	2017-07-04 17:04:42
6	482	1	2017-07-02 20:35:01	2017-07-02 20:35:01
7	483	1	2017-07-02 20:37:44	2017-07-02 20:37:44
8	484	1	2017-07-02 20:43:03	2017-07-02 20:43:03
9	485	1	2017-07-02 20:44:49	2017-07-02 20:44:49
10	486	1	2017-07-02 20:47:06	2017-07-02 20:47:06
11	487	1	2017-07-02 20:52:07	2017-07-02 20:52:07
12	488	1	2017-07-02 20:59:30	2017-07-02 20:59:30
13	489	1	2017-07-02 21:12:44	2017-07-02 21:12:44
14	490	1	2017-07-03 07:09:03	2017-07-03 07:09:03
15	1	31	2017-07-03 07:56:38	2017-07-03 07:56:38
16	2	31	2017-07-03 07:56:38	2017-07-03 07:56:38
17	3	31	2017-07-03 07:56:38	2017-07-03 07:56:38
18	17	31	2017-07-03 07:58:59	2017-07-03 07:58:59
19	50	31	2017-07-03 07:58:59	2017-07-03 07:58:59
20	289	31	2017-07-03 07:59:21	2017-07-03 07:59:21
21	17	32	2017-07-03 08:00:54	2017-07-03 08:00:54
22	50	32	2017-07-03 08:00:54	2017-07-03 08:00:54
23	289	32	2017-07-03 08:01:04	2017-07-03 08:01:04
24	316	32	2017-07-03 08:01:41	2017-07-03 08:01:41
25	279	32	2017-07-03 08:02:02	2017-07-03 08:02:02
26	491	1	2017-07-03 08:36:59	2017-07-03 08:36:59
27	492	1	2017-07-03 08:54:06	2017-07-03 08:54:06
28	493	1	2017-07-03 08:58:32	2017-07-03 08:58:32
30	347	7	2017-07-03 09:45:04	2017-07-03 09:45:04
179	294	33	2017-07-04 17:04:40	2017-07-04 17:04:40
178	284	33	2017-07-04 17:04:40	2017-07-04 17:04:40
177	278	33	2017-07-04 17:04:39	2017-07-04 17:04:39
176	446	33	2017-07-04 17:04:32	2017-07-04 17:04:32
38	494	1	2017-07-03 17:07:05	2017-07-03 17:07:05
39	495	1	2017-07-03 17:13:29	2017-07-03 17:13:29
42	498	1	2017-07-03 17:26:06	2017-07-03 17:26:06
183	223	33	2017-07-04 17:04:49	2017-07-04 17:04:49
43	499	1	2017-07-04 01:09:43	2017-07-04 01:09:43
44	500	1	2017-07-04 01:25:48	2017-07-04 01:25:48
45	501	21	2017-07-04 09:01:17	2017-07-04 09:01:17
